City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Vijayawada,05/16/2019,0.038929188,0.13708202,14.67,0.287414353,55.61,,0.157809811,0.490406836,0.201187335,15.55,83.89,13.15,0.229818182,Very Poor
Vijayawada,05/17/2019,0.040667818,0.153311379,18.02,0.279841327,58.41,,0.193846816,0.528510776,0.151249418,15.88,83.83,13.34,0.248727273,Very Poor
Vijayawada,05/18/2019,0.039090386,0.163037192,13.27,0.271258565,51.83,,0.14274957,0.4764336,0.1637824,15.93,82.73,13.44,0.250909091,Very Poor
Vijayawada,05/19/2019,0.038606793,0.131664365,34.56,0.248431302,69.77,,0.371772806,0.434728865,0.143333851,15.53,84.17,13.19,0.387636364,Severe
Vijayawada,05/20/2019,0.048531952,0.139832159,17.47,0.295095564,59.84,,0.187930293,0.481324233,0.181088002,15.98,83.87,13.6,0.581090909,Severe
